date,description,amount
2026-01-01,ACME Corp Payroll,2996.56
2026-01-05,Transfer to joint-checking,-1400.0
2026-01-15,ACME Corp Payroll,3014.12
2026-01-16,Transfer to brokerage,-800.0
2026-01-20,ATM withdrawal,-62.28
2026-01-25,Credit card payment,-589.92
2026-02-01,ACME Corp Payroll,3010.12
2026-02-05,Transfer to joint-checking,-1400.0
2026-02-15,ACME Corp Payroll,2966.42
2026-02-16,Transfer to brokerage,-800.0
2026-02-20,ATM withdrawal,-68.99
2026-02-25,Credit card payment,-150.35
2026-03-01,ACME Corp Payroll,3024.69
2026-03-05,Transfer to joint-checking,-1400.0
2026-03-15,ACME Corp Payroll,2966.92
2026-03-16,Transfer to brokerage,-800.0
2026-03-20,ATM withdrawal,-74.28
2026-03-25,Credit card payment,-390.71
2026-04-01,ACME Corp Payroll,3019.44
2026-04-05,Transfer to joint-checking,-1400.0
2026-04-15,ACME Corp Payroll,2979.65
2026-04-16,Transfer to brokerage,-800.0
2026-04-18,IRS tax refund,790.31
2026-04-20,ATM withdrawal,-74.7
2026-04-25,Credit card payment,-116.16
2026-05-01,ACME Corp Payroll,2998.89
2026-05-05,Transfer to joint-checking,-1400.0
2026-05-15,ACME Corp Payroll,2953.0
2026-05-16,Transfer to brokerage,-800.0
2026-05-20,ATM withdrawal,-62.43
2026-05-25,Credit card payment,-163.31
