date,description,amount
2023-01-01,Rent - 24th Street Apartment,-2000.0
2023-01-05,Contribution from checking,1400.0
2023-01-05,Contribution from partner,1400.0
2023-01-07,Trader Joe's,-81.31
2023-01-10,ConEd electric,-92.12
2023-01-10,Verizon internet,-79.99
2023-01-14,Trader Joe's,-119.66
2023-01-17,Sushi Date Night,-84.43
2023-01-21,Trader Joe's,-119.54
2023-01-28,Trader Joe's,-119.66
2023-02-01,Rent - 24th Street Apartment,-2000.0
2023-02-05,Contribution from checking,1400.0
2023-02-05,Contribution from partner,1400.0
2023-02-07,Trader Joe's,-124.87
2023-02-10,ConEd electric,-84.71
2023-02-10,Verizon internet,-79.99
2023-02-14,Trader Joe's,-114.19
2023-02-17,Sushi Date Night,-94.23
2023-02-21,Trader Joe's,-99.36
2023-02-28,Trader Joe's,-122.5
2023-03-01,Rent - 24th Street Apartment,-2000.0
2023-03-05,Contribution from checking,1400.0
2023-03-05,Contribution from partner,1400.0
2023-03-07,Trader Joe's,-126.37
2023-03-10,ConEd electric,-82.31
2023-03-10,Verizon internet,-79.99
2023-03-14,Trader Joe's,-127.58
2023-03-17,Sushi Date Night,-78.34
2023-03-21,Trader Joe's,-115.08
2023-03-28,Trader Joe's,-89.01
2023-04-01,Rent - 24th Street Apartment,-2000.0
2023-04-05,Contribution from checking,1400.0
2023-04-05,Contribution from partner,1400.0
2023-04-07,Trader Joe's,-113.01
2023-04-10,ConEd electric,-79.56
2023-04-10,Verizon internet,-79.99
2023-04-14,Trader Joe's,-87.99
2023-04-17,Sushi Date Night,-96.35
2023-04-21,Trader Joe's,-100.53
2023-04-28,Trader Joe's,-96.79
2023-05-01,Rent - 24th Street Apartment,-2000.0
2023-05-05,Contribution from checking,1400.0
2023-05-05,Contribution from partner,1400.0
2023-05-07,Trader Joe's,-119.39
2023-05-10,ConEd electric,-70.34
2023-05-10,Verizon internet,-79.99
2023-05-14,Trader Joe's,-91.65
2023-05-17,Sushi Date Night,-94.57
2023-05-21,Trader Joe's,-120.32
2023-05-28,Trader Joe's,-93.36
2023-06-01,Rent - 24th Street Apartment,-2000.0
2023-06-05,Contribution from checking,1400.0
2023-06-05,Contribution from partner,1400.0
2023-06-07,Trader Joe's,-116.31
2023-06-10,ConEd electric,-81.98
2023-06-10,Verizon internet,-79.99
2023-06-14,Trader Joe's,-105.1
2023-06-17,Sushi Date Night,-80.96
2023-06-21,Trader Joe's,-110.03
2023-06-28,Trader Joe's,-102.37
2023-07-01,Rent - 24th Street Apartment,-2000.0
2023-07-05,Contribution from checking,1400.0
2023-07-05,Contribution from partner,1400.0
2023-07-07,Trader Joe's,-121.36
2023-07-10,ConEd electric,-76.63
2023-07-10,Verizon internet,-79.99
2023-07-14,Trader Joe's,-112.9
2023-07-17,Sushi Date Night,-75.63
2023-07-21,Trader Joe's,-81.59
2023-07-28,Trader Joe's,-88.57
2023-08-01,Rent - 24th Street Apartment,-2000.0
2023-08-05,Contribution from checking,1400.0
2023-08-05,Contribution from partner,1400.0
2023-08-07,Trader Joe's,-100.8
2023-08-10,ConEd electric,-93.26
2023-08-10,Verizon internet,-79.99
2023-08-14,Trader Joe's,-128.51
2023-08-17,Sushi Date Night,-78.16
2023-08-21,Trader Joe's,-128.85
2023-08-28,Trader Joe's,-122.7
2023-09-01,Rent - 24th Street Apartment,-2000.0
2023-09-05,Contribution from checking,1400.0
2023-09-05,Contribution from partner,1400.0
2023-09-07,Trader Joe's,-126.89
2023-09-10,ConEd electric,-98.35
2023-09-10,Verizon internet,-79.99
2023-09-14,Trader Joe's,-129.39
2023-09-17,Sushi Date Night,-98.61
2023-09-21,Trader Joe's,-88.05
2023-09-28,Trader Joe's,-100.33
2023-10-01,Rent - 24th Street Apartment,-2000.0
2023-10-05,Contribution from checking,1400.0
2023-10-05,Contribution from partner,1400.0
2023-10-07,Trader Joe's,-83.15
2023-10-10,ConEd electric,-95.96
2023-10-10,Verizon internet,-79.99
2023-10-14,Trader Joe's,-109.87
2023-10-17,Sushi Date Night,-91.75
2023-10-21,Trader Joe's,-100.68
2023-10-28,Trader Joe's,-111.69
2023-11-01,Rent - 24th Street Apartment,-2000.0
2023-11-05,Contribution from checking,1400.0
2023-11-05,Contribution from partner,1400.0
2023-11-07,Trader Joe's,-89.02
2023-11-10,ConEd electric,-90.17
2023-11-10,Verizon internet,-79.99
2023-11-14,Trader Joe's,-92.37
2023-11-17,Sushi Date Night,-92.06
2023-11-21,Trader Joe's,-114.99
2023-11-28,Trader Joe's,-129.95
2023-12-01,Rent - 24th Street Apartment,-2000.0
2023-12-05,Contribution from checking,1400.0
2023-12-05,Contribution from partner,1400.0
2023-12-07,Trader Joe's,-119.67
2023-12-10,ConEd electric,-78.89
2023-12-10,Verizon internet,-79.99
2023-12-14,Trader Joe's,-108.31
2023-12-17,Sushi Date Night,-98.38
2023-12-21,Trader Joe's,-100.9
2023-12-28,Trader Joe's,-116.75
