date,description,amount
2026-01-01,Rent - 24th Street Apartment,-2000.0
2026-01-05,Contribution from checking,1400.0
2026-01-05,Contribution from partner,1400.0
2026-01-07,Trader Joe's,-109.13
2026-01-10,ConEd electric,-85.08
2026-01-10,Verizon internet,-79.99
2026-01-14,Trader Joe's,-123.36
2026-01-17,Sushi Date Night,-89.41
2026-01-21,Trader Joe's,-124.92
2026-01-28,Trader Joe's,-118.65
2026-02-01,Rent - 24th Street Apartment,-2000.0
2026-02-05,Contribution from checking,1400.0
2026-02-05,Contribution from partner,1400.0
2026-02-07,Trader Joe's,-122.87
2026-02-10,ConEd electric,-84.33
2026-02-10,Verizon internet,-79.99
2026-02-14,Trader Joe's,-83.64
2026-02-17,Sushi Date Night,-91.49
2026-02-21,Trader Joe's,-113.26
2026-02-28,Trader Joe's,-98.9
2026-03-01,Rent - 24th Street Apartment,-2000.0
2026-03-05,Contribution from checking,1400.0
2026-03-05,Contribution from partner,1400.0
2026-03-07,Trader Joe's,-128.26
2026-03-10,ConEd electric,-97.16
2026-03-10,Verizon internet,-79.99
2026-03-14,Trader Joe's,-124.37
2026-03-17,Sushi Date Night,-79.19
2026-03-21,Trader Joe's,-108.4
2026-03-28,Trader Joe's,-128.11
2026-04-01,Rent - 24th Street Apartment,-2000.0
2026-04-05,Contribution from checking,1400.0
2026-04-05,Contribution from partner,1400.0
2026-04-07,Trader Joe's,-89.19
2026-04-10,ConEd electric,-86.0
2026-04-10,Verizon internet,-79.99
2026-04-14,Trader Joe's,-104.79
2026-04-17,Sushi Date Night,-86.41
2026-04-21,Trader Joe's,-115.2
2026-04-28,Trader Joe's,-116.51
2026-05-01,Rent - 24th Street Apartment,-2000.0
2026-05-05,Contribution from checking,1400.0
2026-05-05,Contribution from partner,1400.0
2026-05-07,Trader Joe's,-117.86
2026-05-10,ConEd electric,-85.02
2026-05-10,Verizon internet,-79.99
2026-05-14,Trader Joe's,-127.5
2026-05-17,Sushi Date Night,-93.52
2026-05-21,Trader Joe's,-119.69
2026-05-28,Trader Joe's,-126.86
