date,description,amount
2025-01-01,Rent - 24th Street Apartment,-2000.0
2025-01-05,Contribution from checking,1400.0
2025-01-05,Contribution from partner,1400.0
2025-01-07,Trader Joe's,-107.62
2025-01-10,ConEd electric,-85.81
2025-01-10,Verizon internet,-79.99
2025-01-14,Trader Joe's,-101.15
2025-01-17,Sushi Date Night,-86.26
2025-01-21,Trader Joe's,-96.54
2025-01-28,Trader Joe's,-114.54
2025-02-01,Rent - 24th Street Apartment,-2000.0
2025-02-05,Contribution from checking,1400.0
2025-02-05,Contribution from partner,1400.0
2025-02-07,Trader Joe's,-123.24
2025-02-10,ConEd electric,-82.37
2025-02-10,Verizon internet,-79.99
2025-02-14,Trader Joe's,-83.59
2025-02-17,Sushi Date Night,-86.12
2025-02-21,Trader Joe's,-127.78
2025-02-28,Trader Joe's,-112.87
2025-03-01,Rent - 24th Street Apartment,-2000.0
2025-03-05,Contribution from checking,1400.0
2025-03-05,Contribution from partner,1400.0
2025-03-07,Trader Joe's,-119.44
2025-03-10,ConEd electric,-92.2
2025-03-10,Verizon internet,-79.99
2025-03-14,Trader Joe's,-99.02
2025-03-17,Sushi Date Night,-87.35
2025-03-21,Trader Joe's,-122.45
2025-03-28,Trader Joe's,-109.78
2025-04-01,Rent - 24th Street Apartment,-2000.0
2025-04-05,Contribution from checking,1400.0
2025-04-05,Contribution from partner,1400.0
2025-04-07,Trader Joe's,-118.75
2025-04-10,ConEd electric,-89.81
2025-04-10,Verizon internet,-79.99
2025-04-14,Trader Joe's,-80.17
2025-04-17,Sushi Date Night,-97.98
2025-04-21,Trader Joe's,-94.92
2025-04-28,Trader Joe's,-127.93
2025-05-01,Rent - 24th Street Apartment,-2000.0
2025-05-05,Contribution from checking,1400.0
2025-05-05,Contribution from partner,1400.0
2025-05-07,Trader Joe's,-92.35
2025-05-10,ConEd electric,-83.42
2025-05-10,Verizon internet,-79.99
2025-05-14,Trader Joe's,-84.95
2025-05-17,Sushi Date Night,-90.4
2025-05-21,Trader Joe's,-89.95
2025-05-28,Trader Joe's,-102.87
2025-06-01,Rent - 24th Street Apartment,-2000.0
2025-06-05,Contribution from checking,1400.0
2025-06-05,Contribution from partner,1400.0
2025-06-07,Trader Joe's,-84.96
2025-06-10,ConEd electric,-93.32
2025-06-10,Verizon internet,-79.99
2025-06-14,Trader Joe's,-119.55
2025-06-17,Sushi Date Night,-99.6
2025-06-21,Trader Joe's,-125.82
2025-06-28,Trader Joe's,-95.8
2025-07-01,Rent - 24th Street Apartment,-2000.0
2025-07-05,Contribution from checking,1400.0
2025-07-05,Contribution from partner,1400.0
2025-07-07,Trader Joe's,-80.16
2025-07-10,ConEd electric,-78.11
2025-07-10,Verizon internet,-79.99
2025-07-14,Trader Joe's,-85.73
2025-07-17,Sushi Date Night,-95.96
2025-07-21,Trader Joe's,-106.51
2025-07-28,Trader Joe's,-114.39
2025-08-01,Rent - 24th Street Apartment,-2000.0
2025-08-05,Contribution from checking,1400.0
2025-08-05,Contribution from partner,1400.0
2025-08-07,Trader Joe's,-110.0
2025-08-10,ConEd electric,-96.19
2025-08-10,Verizon internet,-79.99
2025-08-14,Trader Joe's,-102.1
2025-08-17,Sushi Date Night,-78.78
2025-08-21,Trader Joe's,-125.89
2025-08-28,Trader Joe's,-124.35
2025-09-01,Rent - 24th Street Apartment,-2000.0
2025-09-05,Contribution from checking,1400.0
2025-09-05,Contribution from partner,1400.0
2025-09-07,Trader Joe's,-126.73
2025-09-10,ConEd electric,-73.15
2025-09-10,Verizon internet,-79.99
2025-09-14,Trader Joe's,-126.57
2025-09-17,Sushi Date Night,-87.57
2025-09-21,Trader Joe's,-84.86
2025-09-28,Trader Joe's,-86.51
2025-10-01,Rent - 24th Street Apartment,-2000.0
2025-10-05,Contribution from checking,1400.0
2025-10-05,Contribution from partner,1400.0
2025-10-07,Trader Joe's,-118.45
2025-10-10,ConEd electric,-87.45
2025-10-10,Verizon internet,-79.99
2025-10-14,Trader Joe's,-94.42
2025-10-17,Sushi Date Night,-85.44
2025-10-21,Trader Joe's,-118.1
2025-10-28,Trader Joe's,-100.4
2025-11-01,Rent - 24th Street Apartment,-2000.0
2025-11-05,Contribution from checking,1400.0
2025-11-05,Contribution from partner,1400.0
2025-11-07,Trader Joe's,-99.14
2025-11-10,ConEd electric,-84.26
2025-11-10,Verizon internet,-79.99
2025-11-14,Trader Joe's,-126.97
2025-11-17,Sushi Date Night,-85.67
2025-11-21,Trader Joe's,-97.53
2025-11-28,Trader Joe's,-118.7
2025-12-01,Rent - 24th Street Apartment,-2000.0
2025-12-05,Contribution from checking,1400.0
2025-12-05,Contribution from partner,1400.0
2025-12-07,Trader Joe's,-88.02
2025-12-10,ConEd electric,-80.65
2025-12-10,Verizon internet,-79.99
2025-12-14,Trader Joe's,-113.81
2025-12-17,Sushi Date Night,-88.96
2025-12-21,Trader Joe's,-111.56
2025-12-28,Trader Joe's,-81.19
