date,description,units,fundName
2024-01-16,Transfer from checking,800.0,USD
2024-01-17,Buy VBTLX,-150.0,USD
2024-01-17,Buy VBTLX,15.4499,VBTLX
2024-01-17,Buy VFIAX,-600.0,USD
2024-01-17,Buy VFIAX,1.3848,VFIAX
2024-02-16,Transfer from checking,800.0,USD
2024-02-17,Buy VBTLX,-150.0,USD
2024-02-17,Buy VBTLX,15.1677,VBTLX
2024-02-17,Buy VFIAX,-600.0,USD
2024-02-17,Buy VFIAX,1.3647,VFIAX
2024-03-16,Transfer from checking,800.0,USD
2024-03-17,Buy VBTLX,-150.0,USD
2024-03-17,Buy VBTLX,15.0206,VBTLX
2024-03-17,Buy VFIAX,-600.0,USD
2024-03-17,Buy VFIAX,1.3464,VFIAX
2024-03-31,VFIAX quarterly dividend,8.49,USD
2024-04-16,Transfer from checking,800.0,USD
2024-04-17,Buy VBTLX,-150.0,USD
2024-04-17,Buy VBTLX,15.0219,VBTLX
2024-04-17,Buy VFIAX,-600.0,USD
2024-04-17,Buy VFIAX,1.3275,VFIAX
2024-05-16,Transfer from checking,800.0,USD
2024-05-17,Buy VBTLX,-150.0,USD
2024-05-17,Buy VBTLX,15.1788,VBTLX
2024-05-17,Buy VFIAX,-600.0,USD
2024-05-17,Buy VFIAX,1.3096,VFIAX
2024-05-20,Buy AAPL,-500.0,USD
2024-05-20,Buy AAPL,2.7547,AAPL
2024-06-16,Transfer from checking,800.0,USD
2024-06-17,Buy VBTLX,-150.0,USD
2024-06-17,Buy VBTLX,15.4658,VBTLX
2024-06-17,Buy VFIAX,-600.0,USD
2024-06-17,Buy VFIAX,1.2917,VFIAX
2024-06-30,VFIAX quarterly dividend,13.32,USD
2024-07-16,Transfer from checking,800.0,USD
2024-07-17,Buy VBTLX,-150.0,USD
2024-07-17,Buy VBTLX,15.7986,VBTLX
2024-07-17,Buy VFIAX,-600.0,USD
2024-07-17,Buy VFIAX,1.2747,VFIAX
2024-08-16,Transfer from checking,800.0,USD
2024-08-17,Buy VBTLX,-150.0,USD
2024-08-17,Buy VBTLX,16.1066,VBTLX
2024-08-17,Buy VFIAX,-600.0,USD
2024-08-17,Buy VFIAX,1.2577,VFIAX
2024-09-16,Transfer from checking,800.0,USD
2024-09-17,Buy VBTLX,-150.0,USD
2024-09-17,Buy VBTLX,16.2846,VBTLX
2024-09-17,Buy VFIAX,-600.0,USD
2024-09-17,Buy VFIAX,1.2411,VFIAX
2024-09-30,VFIAX quarterly dividend,11.63,USD
2024-10-16,Transfer from checking,800.0,USD
2024-10-17,Buy VBTLX,-150.0,USD
2024-10-17,Buy VBTLX,16.2768,VBTLX
2024-10-17,Buy VFIAX,-600.0,USD
2024-10-17,Buy VFIAX,1.2255,VFIAX
2024-11-16,Transfer from checking,800.0,USD
2024-11-17,Buy VBTLX,-150.0,USD
2024-11-17,Buy VBTLX,16.0855,VBTLX
2024-11-17,Buy VFIAX,-600.0,USD
2024-11-17,Buy VFIAX,1.2098,VFIAX
2024-12-16,Transfer from checking,800.0,USD
2024-12-17,Buy VBTLX,-150.0,USD
2024-12-17,Buy VBTLX,15.7819,VBTLX
2024-12-17,Buy VFIAX,-600.0,USD
2024-12-17,Buy VFIAX,1.1949,VFIAX
2024-12-31,VFIAX quarterly dividend,11.0,USD
