date,description,units,fundName
2025-01-16,Transfer from checking,800.0,USD
2025-01-17,Buy VBTLX,-150.0,USD
2025-01-17,Buy VBTLX,15.4394,VBTLX
2025-01-17,Buy VFIAX,-600.0,USD
2025-01-17,Buy VFIAX,1.18,VFIAX
2025-02-16,Transfer from checking,800.0,USD
2025-02-17,Buy VBTLX,-150.0,USD
2025-02-17,Buy VBTLX,15.1604,VBTLX
2025-02-17,Buy VFIAX,-600.0,USD
2025-02-17,Buy VFIAX,1.1654,VFIAX
2025-03-16,Transfer from checking,800.0,USD
2025-03-17,Buy VBTLX,-150.0,USD
2025-03-17,Buy VBTLX,15.0206,VBTLX
2025-03-17,Buy VFIAX,-600.0,USD
2025-03-17,Buy VFIAX,1.1525,VFIAX
2025-03-31,VFIAX quarterly dividend,12.01,USD
2025-04-16,Transfer from checking,800.0,USD
2025-04-17,Buy VBTLX,-150.0,USD
2025-04-17,Buy VBTLX,15.0219,VBTLX
2025-04-17,Buy VFIAX,-600.0,USD
2025-04-17,Buy VFIAX,1.1385,VFIAX
2025-05-16,Transfer from checking,800.0,USD
2025-05-17,Buy VBTLX,-150.0,USD
2025-05-17,Buy VBTLX,15.1788,VBTLX
2025-05-17,Buy VFIAX,-600.0,USD
2025-05-17,Buy VFIAX,1.1254,VFIAX
2025-05-20,Buy AAPL,-500.0,USD
2025-05-20,Buy AAPL,2.364,AAPL
2025-06-16,Transfer from checking,800.0,USD
2025-06-17,Buy VBTLX,-150.0,USD
2025-06-17,Buy VBTLX,15.4658,VBTLX
2025-06-17,Buy VFIAX,-600.0,USD
2025-06-17,Buy VFIAX,1.1121,VFIAX
2025-06-30,VFIAX quarterly dividend,10.5,USD
2025-07-16,Transfer from checking,800.0,USD
2025-07-17,Buy VBTLX,-150.0,USD
2025-07-17,Buy VBTLX,15.7986,VBTLX
2025-07-17,Buy VFIAX,-600.0,USD
2025-07-17,Buy VFIAX,1.0995,VFIAX
2025-08-16,Transfer from checking,800.0,USD
2025-08-17,Buy VBTLX,-150.0,USD
2025-08-17,Buy VBTLX,16.1066,VBTLX
2025-08-17,Buy VFIAX,-600.0,USD
2025-08-17,Buy VFIAX,1.0868,VFIAX
2025-09-16,Transfer from checking,800.0,USD
2025-09-17,Buy VBTLX,-150.0,USD
2025-09-17,Buy VBTLX,16.2846,VBTLX
2025-09-17,Buy VFIAX,-600.0,USD
2025-09-17,Buy VFIAX,1.0745,VFIAX
2025-09-30,VFIAX quarterly dividend,12.45,USD
2025-10-16,Transfer from checking,800.0,USD
2025-10-17,Buy VBTLX,-150.0,USD
2025-10-17,Buy VBTLX,16.2768,VBTLX
2025-10-17,Buy VFIAX,-600.0,USD
2025-10-17,Buy VFIAX,1.0627,VFIAX
2025-11-16,Transfer from checking,800.0,USD
2025-11-17,Buy VBTLX,-150.0,USD
2025-11-17,Buy VBTLX,16.0855,VBTLX
2025-11-17,Buy VFIAX,-600.0,USD
2025-11-17,Buy VFIAX,1.0509,VFIAX
2025-12-16,Transfer from checking,800.0,USD
2025-12-17,Buy VBTLX,-150.0,USD
2025-12-17,Buy VBTLX,15.7819,VBTLX
2025-12-17,Buy VFIAX,-600.0,USD
2025-12-17,Buy VFIAX,1.0396,VFIAX
2025-12-31,VFIAX quarterly dividend,13.41,USD
