date,description,units,fundName
2023-01-16,Transfer from checking,800.0,USD
2023-01-17,Buy VBTLX,-150.0,USD
2023-01-17,Buy VBTLX,15.4499,VBTLX
2023-01-17,Buy VFIAX,-600.0,USD
2023-01-17,Buy VFIAX,1.6746,VFIAX
2023-02-16,Transfer from checking,800.0,USD
2023-02-17,Buy VBTLX,-150.0,USD
2023-02-17,Buy VBTLX,15.1677,VBTLX
2023-02-17,Buy VFIAX,-600.0,USD
2023-02-17,Buy VFIAX,1.6454,VFIAX
2023-03-16,Transfer from checking,800.0,USD
2023-03-17,Buy VBTLX,-150.0,USD
2023-03-17,Buy VBTLX,15.0234,VBTLX
2023-03-17,Buy VFIAX,-600.0,USD
2023-03-17,Buy VFIAX,1.6198,VFIAX
2023-03-31,VFIAX quarterly dividend,10.91,USD
2023-04-16,Transfer from checking,800.0,USD
2023-04-17,Buy VBTLX,-150.0,USD
2023-04-17,Buy VBTLX,15.0193,VBTLX
2023-04-17,Buy VFIAX,-600.0,USD
2023-04-17,Buy VFIAX,1.5924,VFIAX
2023-05-16,Transfer from checking,800.0,USD
2023-05-17,Buy VBTLX,-150.0,USD
2023-05-17,Buy VBTLX,15.1713,VBTLX
2023-05-17,Buy VFIAX,-600.0,USD
2023-05-17,Buy VFIAX,1.5668,VFIAX
2023-05-20,Buy AAPL,-500.0,USD
2023-05-20,Buy AAPL,3.302,AAPL
2023-06-16,Transfer from checking,800.0,USD
2023-06-17,Buy VBTLX,-150.0,USD
2023-06-17,Buy VBTLX,15.4552,VBTLX
2023-06-17,Buy VFIAX,-600.0,USD
2023-06-17,Buy VFIAX,1.5412,VFIAX
2023-06-30,VFIAX quarterly dividend,12.64,USD
2023-07-16,Transfer from checking,800.0,USD
2023-07-17,Buy VBTLX,-150.0,USD
2023-07-17,Buy VBTLX,15.7875,VBTLX
2023-07-17,Buy VFIAX,-600.0,USD
2023-07-17,Buy VFIAX,1.5171,VFIAX
2023-08-16,Transfer from checking,800.0,USD
2023-08-17,Buy VBTLX,-150.0,USD
2023-08-17,Buy VBTLX,16.0983,VBTLX
2023-08-17,Buy VFIAX,-600.0,USD
2023-08-17,Buy VFIAX,1.4931,VFIAX
2023-09-16,Transfer from checking,800.0,USD
2023-09-17,Buy VBTLX,-150.0,USD
2023-09-17,Buy VBTLX,16.2817,VBTLX
2023-09-17,Buy VFIAX,-600.0,USD
2023-09-17,Buy VFIAX,1.4698,VFIAX
2023-09-30,VFIAX quarterly dividend,12.88,USD
2023-10-16,Transfer from checking,800.0,USD
2023-10-17,Buy VBTLX,-150.0,USD
2023-10-17,Buy VBTLX,16.2801,VBTLX
2023-10-17,Buy VFIAX,-600.0,USD
2023-10-17,Buy VFIAX,1.4479,VFIAX
2023-11-16,Transfer from checking,800.0,USD
2023-11-17,Buy VBTLX,-150.0,USD
2023-11-17,Buy VBTLX,16.094,VBTLX
2023-11-17,Buy VFIAX,-600.0,USD
2023-11-17,Buy VFIAX,1.426,VFIAX
2023-12-16,Transfer from checking,800.0,USD
2023-12-17,Buy VBTLX,-150.0,USD
2023-12-17,Buy VBTLX,15.793,VBTLX
2023-12-17,Buy VFIAX,-600.0,USD
2023-12-17,Buy VFIAX,1.4054,VFIAX
2023-12-31,VFIAX quarterly dividend,13.39,USD
