date,description,amount
2023-01-01,Walgreens,-26.39
2023-01-05,BP Gas,-48.04
2023-01-11,BP Gas,-45.4
2023-01-12,Walgreens,-32.09
2023-01-13,Target,-63.1
2023-01-20,REI Co-op,-112.05
2023-01-25,Payment from checking,327.07
2023-02-01,Netflix,-15.99
2023-02-04,Amazon.com,-28.65
2023-02-04,Spotify Premium,-10.99
2023-02-09,Chipotle,-16.3
2023-02-09,Netflix,-15.99
2023-02-10,Spotify Premium,-10.99
2023-02-22,Walgreens,-11.75
2023-02-25,Payment from checking,110.66
2023-03-04,Spotify Premium,-10.99
2023-03-04,Walgreens,-25.01
2023-03-10,Blue Bottle Coffee,-6.68
2023-03-13,Amazon.com,-31.78
2023-03-13,Whole Foods Market,-75.69
2023-03-15,REI Co-op,-96.1
2023-03-22,BP Gas,-55.18
2023-03-25,Payment from checking,301.43
2023-04-08,Whole Foods Market,-85.05
2023-04-17,Shell Gas Station,-37.93
2023-04-19,Target,-33.6
2023-04-20,Uber Trip,-19.01
2023-04-21,Amazon.com,-25.45
2023-04-21,Spotify Premium,-10.99
2023-04-24,Steam,-8.31
2023-04-25,Payment from checking,220.34
2023-05-01,Blue Bottle Coffee,-7.13
2023-05-02,Best Buy,-100.27
2023-05-03,Chipotle,-11.58
2023-05-06,REI Co-op,-117.39
2023-05-07,BP Gas,-47.07
2023-05-20,Shell Gas Station,-52.92
2023-05-21,BP Gas,-55.32
2023-05-21,Blue Bottle Coffee,-5.77
2023-05-25,Payment from checking,397.45
2023-06-03,Whole Foods Market,-53.17
2023-06-05,REI Co-op,-82.14
2023-06-09,Walgreens,-32.18
2023-06-12,Best Buy,-104.11
2023-06-15,Best Buy,-196.97
2023-06-18,Shell Gas Station,-30.24
2023-06-20,Best Buy,-153.67
2023-06-25,Payment from checking,652.48
2023-07-03,Amazon.com,-24.25
2023-07-08,Blue Bottle Coffee,-6.87
2023-07-10,Shell Gas Station,-39.29
2023-07-12,Shell Gas Station,-51.07
2023-07-13,Amazon.com,-28.6
2023-07-14,Spotify Premium,-10.99
2023-07-21,Netflix,-15.99
2023-07-24,Chipotle,-11.04
2023-07-25,Payment from checking,188.1
2023-08-01,Amazon.com,-61.05
2023-08-01,Steam,-34.64
2023-08-07,Blue Bottle Coffee,-7.44
2023-08-11,Chipotle,-14.48
2023-08-14,Amazon.com,-67.35
2023-08-16,Uber Trip,-16.55
2023-08-24,Target,-40.77
2023-08-25,Payment from checking,242.28
2023-09-03,Whole Foods Market,-69.37
2023-09-04,Blue Bottle Coffee,-8.01
2023-09-09,BP Gas,-46.06
2023-09-18,Chipotle,-14.65
2023-09-18,REI Co-op,-97.38
2023-09-20,Whole Foods Market,-91.44
2023-09-25,Payment from checking,326.91
2023-10-02,Shell Gas Station,-58.16
2023-10-05,BP Gas,-37.67
2023-10-08,Amazon.com,-38.71
2023-10-12,Best Buy,-175.54
2023-10-16,Whole Foods Market,-80.94
2023-10-20,REI Co-op,-66.53
2023-10-21,Amazon.com,-71.9
2023-10-25,Payment from checking,529.45
2023-11-06,Uber Trip,-22.82
2023-11-08,Amazon.com,-66.61
2023-11-09,Uber Trip,-15.68
2023-11-12,Blue Bottle Coffee,-5.04
2023-11-16,Whole Foods Market,-80.04
2023-11-17,Blue Bottle Coffee,-6.14
2023-11-25,Payment from checking,196.33
2023-12-09,REI Co-op,-51.74
2023-12-12,Best Buy,-200.95
2023-12-13,Blue Bottle Coffee,-5.88
2023-12-13,REI Co-op,-97.35
2023-12-18,Target,-71.37
2023-12-19,Spotify Premium,-10.99
2023-12-21,Steam,-42.12
2023-12-25,Payment from checking,480.4
