date,description,amount
2026-01-01,Target,-82.94
2026-01-01,Target,-60.13
2026-01-04,Netflix,-15.99
2026-01-08,BP Gas,-51.74
2026-01-08,Best Buy,-203.54
2026-01-12,Target,-68.66
2026-01-22,Whole Foods Market,-92.91
2026-01-23,Chipotle,-14.01
2026-01-25,Payment from checking,589.92
2026-02-01,Shell Gas Station,-40.16
2026-02-02,Steam,-25.66
2026-02-05,Steam,-34.28
2026-02-15,Steam,-7.02
2026-02-16,Uber Trip,-11.34
2026-02-23,Walgreens,-31.89
2026-02-25,Payment from checking,150.35
2026-03-03,REI Co-op,-123.26
2026-03-04,Shell Gas Station,-59.62
2026-03-04,Shell Gas Station,-40.79
2026-03-05,Netflix,-15.99
2026-03-07,Best Buy,-126.72
2026-03-09,Spotify Premium,-10.99
2026-03-16,Chipotle,-13.34
2026-03-25,Payment from checking,390.71
2026-04-08,Spotify Premium,-10.99
2026-04-09,Chipotle,-14.9
2026-04-12,Spotify Premium,-10.99
2026-04-14,Chipotle,-9.96
2026-04-17,Chipotle,-15.19
2026-04-21,Amazon.com,-54.13
2026-04-25,Payment from checking,116.16
2026-05-01,Uber Trip,-10.85
2026-05-06,BP Gas,-31.96
2026-05-10,Chipotle,-10.81
2026-05-11,Uber Trip,-20.2
2026-05-12,BP Gas,-43.99
2026-05-14,REI Co-op,-45.5
2026-05-25,Payment from checking,163.31
