date,description,amount
2025-01-03,Blue Bottle Coffee,-8.35
2025-01-03,Steam,-44.61
2025-01-08,Steam,-11.97
2025-01-13,Best Buy,-203.4
2025-01-14,Blue Bottle Coffee,-6.74
2025-01-18,Netflix,-15.99
2025-01-19,Shell Gas Station,-35.74
2025-01-25,Payment from checking,326.8
2025-02-03,BP Gas,-41.62
2025-02-04,Whole Foods Market,-48.09
2025-02-07,Steam,-7.61
2025-02-12,REI Co-op,-78.41
2025-02-14,Blue Bottle Coffee,-5.64
2025-02-14,Whole Foods Market,-48.4
2025-02-22,Steam,-22.39
2025-02-24,Blue Bottle Coffee,-7.8
2025-02-25,Payment from checking,259.96
2025-03-01,Shell Gas Station,-54.41
2025-03-03,Target,-80.12
2025-03-05,Walgreens,-14.61
2025-03-08,Blue Bottle Coffee,-7.04
2025-03-08,Netflix,-15.99
2025-03-13,Steam,-8.29
2025-03-15,Best Buy,-181.15
2025-03-24,Steam,-15.14
2025-03-25,Payment from checking,376.75
2025-04-17,BP Gas,-29.27
2025-04-19,BP Gas,-46.42
2025-04-20,Target,-83.82
2025-04-23,Netflix,-15.99
2025-04-23,Steam,-29.84
2025-04-24,BP Gas,-30.76
2025-04-25,Payment from checking,236.1
2025-05-17,Walgreens,-11.14
2025-05-18,REI Co-op,-51.65
2025-05-19,Whole Foods Market,-68.2
2025-05-20,Steam,-39.66
2025-05-20,Steam,-38.37
2025-05-23,Walgreens,-32.12
2025-05-24,Spotify Premium,-10.99
2025-05-25,Payment from checking,252.13
2025-06-08,Blue Bottle Coffee,-5.53
2025-06-08,Blue Bottle Coffee,-5.72
2025-06-11,Amazon.com,-13.44
2025-06-11,Shell Gas Station,-53.86
2025-06-17,Whole Foods Market,-81.28
2025-06-18,BP Gas,-50.21
2025-06-25,Payment from checking,210.04
2025-07-07,Whole Foods Market,-88.45
2025-07-12,BP Gas,-32.7
2025-07-13,Best Buy,-194.44
2025-07-16,Walgreens,-10.97
2025-07-17,Spotify Premium,-10.99
2025-07-19,Chipotle,-15.27
2025-07-19,Walgreens,-12.95
2025-07-25,Payment from checking,365.77
2025-08-06,Steam,-14.0
2025-08-07,REI Co-op,-100.42
2025-08-13,Target,-53.05
2025-08-15,Whole Foods Market,-70.7
2025-08-18,Target,-62.24
2025-08-18,Target,-46.03
2025-08-25,Payment from checking,346.44
2025-09-09,Chipotle,-12.67
2025-09-11,Chipotle,-13.46
2025-09-12,REI Co-op,-37.2
2025-09-12,Whole Foods Market,-73.42
2025-09-15,Blue Bottle Coffee,-4.88
2025-09-15,Whole Foods Market,-80.61
2025-09-22,REI Co-op,-88.58
2025-09-25,Payment from checking,310.82
2025-10-01,Target,-29.85
2025-10-01,Walgreens,-32.38
2025-10-13,Chipotle,-9.41
2025-10-16,REI Co-op,-88.29
2025-10-16,Steam,-23.62
2025-10-16,Uber Trip,-13.04
2025-10-17,Netflix,-15.99
2025-10-18,REI Co-op,-77.41
2025-10-25,Payment from checking,289.99
2025-11-01,Amazon.com,-12.9
2025-11-01,Walgreens,-30.27
2025-11-05,Blue Bottle Coffee,-5.07
2025-11-06,BP Gas,-51.52
2025-11-06,Chipotle,-11.79
2025-11-20,Target,-47.26
2025-11-23,Walgreens,-27.13
2025-11-25,Payment from checking,185.94
2025-12-09,REI Co-op,-64.37
2025-12-14,Walgreens,-10.44
2025-12-16,Shell Gas Station,-31.37
2025-12-16,Uber Trip,-24.31
2025-12-18,Best Buy,-204.83
2025-12-22,Blue Bottle Coffee,-6.47
2025-12-23,Netflix,-15.99
2025-12-25,Payment from checking,357.78
